sonnet_num,line,neg,neu,pos,compound,Verbs,Nouns,Adverbs,Corpus
1.0,"From fairest creatures we desire increase,
That thereby beauty's rose might never die,
But as the riper should by time decease,
His tender heir might bear his memory:
But thou, contracted to thine own bright eyes,
Feed'st thy light's flame with self-substantial fuel,
Making a famine where abundance lies,
Thyself thy foe, to thy sweet self too cruel.
Thou that art now the world's fresh ornament,
And only herald to the gaudy spring,
Within thine own bud buriest thy content,
And, tender chorl, mak'st waste in niggarding:
Pity the world, or else this glutton be,
To eat the world's due, by the grave and thee.",0.173,0.702,0.125,-0.851,desire rise may die should may bear contract thine make lie thy tender mak'st eat,creature increase beauty riper time tender heir memory eye light flame self fuel famine abundance thy foe self art world ornament spring thine bud buriest thy content waste niggarding pity world glutton world grave,thereby never where too now only else,fair creature desire increase beauty rise die riper time decease tender heir bear memory thou contract thine bright eye Feed st thy light flame self substantial fuel make famine abundance lie Thyself thy foe thy sweet self cruel Thou art world fresh ornament herald gaudy spring thine bud buriest thy content tender chorl mak st waste niggarding pity world glutton eat world grave thee 
2.0,"When forty winters shall besiege thy brow,
And dig deep trenches in thy beauty's field,
Thy youth's proud livery, so gaz'd on now,
Will be a totter'd weed of small worth held:
Then being ask'd, where all thy beauty lies,
Where all the treasure of thy lusty days,
To say within thine own deep-sunken eyes
Were an all-eating shame, and thriftless praise.
How much more praise deserv'd thy beauty's use,
If thou couldst answer,  ""This fair child of mine
Shall sum my count, and make my old excuse,""
Proving his beauty by succession thine.
This were to be new made when thou art old,
And see thy blood warm when thou feel'st it cold.",0.044,0.747,0.209,0.9658,shall besiege dig Will hold lie say own sink eat sum make prove make see feel'st,winter brow trench beauty field youth livery weed ask'd beauty treasure thy day eye shame thriftless praise praise beauty use answer child mine count excuse beauty succession thine blood,when so now then where where deep all how much when when,winter shall besiege thy brow dig deep trench thy beauty field Thy youth proud livery gaz d totter d weed small worth hold ask d thy beauty lie treasure thy lusty day thine deep sink eye eat shame thriftless praise praise deserv d thy beauty use thou couldst answer fair child Shall sum count old excuse prove beauty succession thine new thou art old thy blood warm thou feel st cold 
3.0,"Look in thy glass and tell the face thou viewest,
Now is the time that face should form another,
Whose fresh repair if now thou not renewest,
Thou dost beguile the world, unbless some mother.
For where is she so fair whose unear'd womb
Disdains the tillage of thy husbandry?
Or who is he so fond will be the tomb,
Of his self-love, to stop posterity?
Thou art thy mother's glass, and she in thee
Calls back the lovely April of her prime,
So thou through windows of thine age shalt see,
Despite of wrinkles, this thy golden time.
But if thou live rememb'red not to be,
Die single, and thine image dies with thee.",0.013,0.882,0.105,0.8859,look tell should form dost unbless disdain will stop call see live rememb're die die,glass face time face repair world mother unear'd womb tillage thy husbandry tomb self love posterity mother glass prime window thine age shalt wrinkle time image,now now where so so back so,look thy glass tell face thou viewest time face form fresh repair thou renewest Thou dost beguile world unbless mother fair unear d womb disdain tillage thy husbandry fond tomb self love stop posterity Thou art thy mother glass thee call lovely April prime thou window thine age shalt despite wrinkle thy golden time thou live rememb re die single thine image die thee 
4.0,"Unthrifty loveliness, why dost thou spend
Upon thyself thy beauty's legacy?
Nature's bequest gives nothing, but doth lend,
And being frank she lends to those are free:
Then, beauteous niggard, why dost thou abuse
The bounteous largess given thee to give?
Profitless usurer, why dost thou use
So great a sum of sums, yet canst not live?
For having traffic with thyself alone,
Thou of thyself thy sweet self dost deceive,
Then how when Nature calls thee to be gone,
What acceptable audit canst thou leave?
Thy unus'd beauty must be tomb'd with thee,
Which used lives th' executor to be.",0.121,0.659,0.22,0.9536,dost spend give lend lend dost give give dost use have call go leave must use,loveliness beauty legacy bequest doth niggard abuse largess sum sum canst traffic self dost deceive audit beauty life executor,why then why why so alone then how when,unthrifty loveliness dost thou spend thyself thy beauty legacy Nature bequest give doth lend frank lend free beauteous niggard dost thou abuse bounteous largess give thee profitless usurer dost thou use great sum sum canst live have traffic thyself Thou thyself thy sweet self dost deceive Nature call thee go acceptable audit canst thou leave Thy unus d beauty tomb d thee life th executor 
5.0,"Those hours that with gentle work did frame
The lovely gaze where every eye doth dwell
Will play the tyrants to the very same,
And that unfair which fairly doth excel:
For never-resting time leads summer on
To hideous winter and confounds him there,
Sap check'd with frost and lusty leaves quite gone,
Beauty o'ersnow'd and bareness every where:
Then were not summer's distillation left
A liquid prisoner pent in walls of glass,
Beauty's effect with beauty were bereft,
Nor it nor no remembrance what it was.
But flowers distill'd, though they with winter meet,
Leese but their show, their substance still lives sweet.",0.049,0.794,0.157,0.8912,frame Will play excel rest lead confound check'd go leave pen live,hour work gaze eye doth dwell tyrant doth time summer winter frost lusty leave bareness summer distillation prisoner wall glass effect beauty remembrance flower winter meet show substance,where very fairly never there quite where then still,hour gentle work frame lovely gaze eye doth dwell play tyrant unfair fairly doth excel rest time lead summer hideous winter confound Sap check d frost lusty leave go Beauty o ersnow d bareness summer distillation leave liquid prisoner pen wall glass Beauty effect beauty bereft remembrance flower distill d winter meet Leese substance live sweet 
6.0,"Then let not winter's ragged hand deface
In thee thy summer ere thou be distill'd:
Make sweet some vial; treasure thou some place
With beauty's treasure ere it be self-kill'd.
That use is not forbidden usury,
Which happies those that pay the willing loan;
That's for thyself to breed another thee,
Or ten times happier be it ten for one;
Ten times thyself were happier than thou art,
If ten of thine ten times refigur'd thee,
Then what could death do if thou shouldst depart,
Leaving thee living in posterity?
Be not self-will'd, for thou art much too fair
To be death's conquest and make worms thine heir.",0.064,0.786,0.151,0.8721,let winter make forbid happie pay breed could leave live make thine,hand deface summer place beauty treasure self kill'd use usury loan thee time time thine time death posterity self death conquest worm heir,then then much too,let winter ragged hand deface thee thy summer ere thou distill d sweet vial treasure thou place beauty treasure ere self kill d use forbid usury happie pay willing loan thyself breed thee time happy time thyself happy thou art thine time refigur d thee death thou shouldst depart leave thee live posterity self will d thou art fair death conquest worm thine heir 
7.0,"Lo in the orient when the gracious light
Lifts up his burning head, each under eye
Doth homage to his new-appearing sight,
Serving with looks his sacred majesty,
And having climb'd the steep-up heavenly hill,
Resembling strong youth in his middle age,
Yet mortal looks adore his beauty still,
Attending on his golden pilgrimage:
But when from highmost pitch, with weary car,
Like feeble age he reeleth from the day,
The eyes ('fore duteous) now converted are
From his low tract and look another way:
So thou, thyself outgoing in thy noon,
Unlook'd on diest unless thou get a son.",0.071,0.783,0.146,0.7576,lift burn appear serve look have resemble adore attend reeleth convert look outgo get,orient light head eye homage sight majesty up hill youth age look beauty pilgrimage highmost pitch car age day eye fore tract way noon diest son,when new still when now so,Lo orient gracious light lift burn head eye Doth homage new appear sight serve look sacred majesty have climb d steep heavenly hill resemble strong youth middle age mortal look adore beauty attend golden pilgrimage highmost pitch weary car like feeble age reeleth day eye fore duteous convert low tract look way thou thyself outgo thy noon Unlook d diest thou son 
8.0,"Music to hear, why hear'st thou music sadly?
Sweets with sweets war not, joy delights in joy.
Why lov'st thou that which thou receiv'st not gladly,
Or else receiv'st with pleasure thine annoy?
If the true concord of well-tuned sounds,
By unions married, do offend thine ear,
They do but sweetly chide thee, who confounds
In singleness the parts that thou shouldst bear.
Mark how one string, sweet husband to another,
Strikes each in each by mutual ordering;
Resembling sire, and child, and happy mother,
Who all in one, one pleasing note do sing:
Whose speechless song, being many, seeming one,
Sings this to thee,  ""Thou single wilt prove none.""",0.134,0.673,0.193,0.9206,hear delight lov'st receiv'st receiv'st tune marry offend chide confound strike sing seem prove,music music sweet sweet war joy joy pleasure annoy concord sound union thine ear singleness part string husband ordering resembling child mother note speechless song wilt none,why sadly why gladly else well sweetly how,music hear hear st thou music sadly sweet sweet war joy delight joy lov st thou thou receiv st gladly receiv st pleasure thine annoy true concord tune sound union marry offend thine ear sweetly chide thee confound singleness part thou shouldst bear Mark string sweet husband strike mutual ordering resembling sire child happy mother pleasing note sing speechless song Sings thee Thou single wilt prove 
9.0,"Is it for fear to wet a widow's eye
That thou consum'st thyself in single life?
Ah! If thou issueless shalt hap to die,
The world will wail thee like a makeless wife,
The world will be thy widow and still weep,
That thou no form of thee hast left behind,
When every private widow well may keep,
By children's eyes, her husband's shape in mind.
Look what an unthrift in the world doth spend
Shifts but his place, for still the world enjoys it,
But beauty's waste hath in the world an end,
And kept unus'd, the user so destroys it:
No love toward others in that bosom sits
That on himself such murd'rous shame commits.",0.184,0.713,0.103,-0.9111,wet issueles die will wail will weep leave may keep look spend enjoy keep destroy sit,fear widow eye life world makeless wife world widow form thee hast widow child eye husband shape mind unthrift doth place world waste hath world end user love other bosom shame commit,still behind when well still so,fear wet widow eye thou consum st thyself single life ah thou issueles shalt hap die world wail thee like makeless wife world thy widow weep thou form thee hast leave private widow child eye husband shape mind look unthrift world doth spend Shifts place world enjoy beauty waste hath world end keep unus d user destroy love bosom sit murd rous shame commit 
10.0,"For shame deny that thou bear'st love to any,
Who for thyself art so unprovident.
Grant, if thou wilt, thou art belov'd of many,
But that thou none lov'st is most evident;
For thou art so possess'd with murd'rous hate,
That 'gainst thyself thou stick'st not to conspire,
Seeking that beauteous roof to ruinate
Which to repair should be thy chief desire.
O, change thy thought, that I may change my mind!
Shall hate be fairer lodg'd than gentle love?
Be as thy presence is gracious and kind,
Or to thyself at least kind-hearted prove:
Make thee another self for love of me,
That beauty still may live in thine or thee.",0.12,0.607,0.273,0.9802,conspire seek ruinate repair should change may change Shall hate make thee may live,shame deny art belov'd hate roof desire thy thought mind lodg'd love presence prove self love beauty thine,so most so kind still,shame deny thou bear st love thyself art unprovident Grant thou wilt thou art belov d thou lov st evident thou art possess d murd rous hate gainst thyself thou stick st conspire seek beauteous roof ruinate repair thy chief desire o change thy thought change mind Shall hate fairer lodg d gentle love thy presence gracious kind thyself kind hearted prove thee self love beauty live thine thee 
