,title,sonnet_num,line,line_number_global,line_number,neg,neu,pos,compound,Verbs,Nouns,Adverbs,Corpus
0,Sonnets,1.0,"From fairest creatures we desire increase,",1.0,1,0.0,0.444,0.556,0.6124,desire,creature increase,,fair creature desire increase 
1,Sonnets,1.0,"That thereby beauty's rose might never die,",2.0,2,0.0,0.656,0.344,0.4847,rise may die,beauty,thereby never,beauty rise die 
2,Sonnets,1.0,"But as the riper should by time decease,",3.0,3,0.0,1.0,0.0,0.0,should,riper time,,riper time decease 
3,Sonnets,1.0,His tender heir might bear his memory:,4.0,4,0.0,1.0,0.0,0.0,may bear,tender heir memory,,tender heir bear memory 
4,Sonnets,1.0,"But thou, contracted to thine own bright eyes,",5.0,5,0.0,0.645,0.355,0.5927,contract thine,eye,,thou contract thine bright eye 
5,Sonnets,1.0,"Feed'st thy light's flame with self-substantial fuel,",6.0,6,0.0,1.0,0.0,0.0,,light flame self fuel,,Feed st thy light flame self substantial fuel 
6,Sonnets,1.0,"Making a famine where abundance lies,",7.0,7,0.412,0.588,0.0,-0.4215,make lie,famine abundance,where,make famine abundance lie 
7,Sonnets,1.0,"Thyself thy foe, to thy sweet self too cruel.",8.0,8,0.427,0.382,0.191,-0.5719,thy thy,foe self,too,thyself thy foe thy sweet self cruel 
8,Sonnets,1.0,"Thou that art now the world's fresh ornament,",9.0,9,0.0,0.753,0.247,0.3182,,art world ornament,now,Thou art world fresh ornament 
9,Sonnets,1.0,"And only herald to the gaudy spring,",10.0,10,0.0,1.0,0.0,0.0,,spring,only,herald gaudy spring 
10,Sonnets,1.0,"Within thine own bud buriest thy content,",11.0,11,0.0,1.0,0.0,0.0,,bud buriest content,,thine bud buriest thy content 
11,Sonnets,1.0,"And, tender chorl, mak'st waste in niggarding:",12.0,12,0.318,0.682,0.0,-0.4215,tender mak'st,waste niggarding,, tender chorl mak st waste niggarding 
12,Sonnets,1.0,"Pity the world, or else this glutton be,",13.0,13,0.239,0.761,0.0,-0.296,,pity world glutton,else,pity world glutton 
13,Sonnets,1.0,"To eat the world's due, by the grave and thee.",14.0,14,0.224,0.776,0.0,-0.3818,eat,world grave,,eat world grave thee 
14,Sonnets,2.0,"When forty winters shall besiege thy brow,",15.0,1,0.0,1.0,0.0,0.0,shall besiege,winter brow,when,winter shall besiege thy brow 
15,Sonnets,2.0,"And dig deep trenches in thy beauty's field,",16.0,2,0.0,1.0,0.0,0.0,dig,trench beauty field,,dig deep trench thy beauty field 
16,Sonnets,2.0,"Thy youth's proud livery, so gaz'd on now,",17.0,3,0.0,0.693,0.307,0.4767,thy,youth livery,so now,thy youth proud livery gaz d 
17,Sonnets,2.0,Will be a totter'd weed of small worth held:,18.0,4,0.0,0.787,0.213,0.2263,Will hold,weed,,totter d weed small worth hold 
18,Sonnets,2.0,"Then being ask'd, where all thy beauty lies,",19.0,5,0.222,0.476,0.302,0.25,lie,ask'd beauty,then where,ask d thy beauty lie 
19,Sonnets,2.0,"Where all the treasure of thy lusty days,",20.0,6,0.0,0.761,0.239,0.296,,treasure thy day,where,treasure thy lusty day 
20,Sonnets,2.0,To say within thine own deep-sunken eyes,21.0,7,0.0,1.0,0.0,0.0,say own sink,eye,deep,thine deep sink eye
21,Sonnets,2.0,"Were an all-eating shame, and thriftless praise.",22.0,8,0.265,0.427,0.308,0.128,eat,shame thriftless praise,all, eat shame thriftless praise 
22,Sonnets,2.0,"How much more praise deserv'd thy beauty's use,",23.0,9,0.0,0.643,0.357,0.5984,,praise beauty use,how much,praise deserv d thy beauty use 
23,Sonnets,2.0,"If thou couldst answer,  ""This fair child of mine",24.0,10,0.0,0.753,0.247,0.3869,,answer child mine,,thou couldst answer fair child
24,Sonnets,2.0,"Shall sum my count, and make my old excuse,""",25.0,11,0.0,1.0,0.0,0.0,Shall sum make,count excuse,,Shall sum count old excuse 
25,Sonnets,2.0,Proving his beauty by succession thine.,26.0,12,0.0,0.417,0.583,0.6808,prove,beauty succession thine,,prove beauty succession thine 
26,Sonnets,2.0,"This were to be new made when thou art old,",27.0,13,0.0,1.0,0.0,0.0,make,,when,new thou art old 
27,Sonnets,2.0,And see thy blood warm when thou feel'st it cold.,28.0,14,0.0,0.826,0.174,0.2263,see feel'st,blood,when,thy blood warm thou feel st cold 
28,Sonnets,3.0,"Look in thy glass and tell the face thou viewest,",29.0,1,0.0,1.0,0.0,0.0,look tell,glass face,,look thy glass tell face thou viewest 
29,Sonnets,3.0,"Now is the time that face should form another,",30.0,2,0.0,1.0,0.0,0.0,should form,time face,now,time face form 
30,Sonnets,3.0,"Whose fresh repair if now thou not renewest,",31.0,3,0.0,0.753,0.247,0.3182,,repair,now,fresh repair thou renewest 
31,Sonnets,3.0,"Thou dost beguile the world, unbless some mother.",32.0,4,0.0,1.0,0.0,0.0,dost unbless,world mother,,Thou dost beguile world unbless mother 
32,Sonnets,3.0,For where is she so fair whose unear'd womb,33.0,5,0.0,0.728,0.272,0.4572,,unear'd womb,where so,fair unear d womb
33,Sonnets,3.0,Disdains the tillage of thy husbandry?,34.0,6,0.0,1.0,0.0,0.0,,disdain tillage thy husbandry,,disdain tillage thy husbandry 
34,Sonnets,3.0,"Or who is he so fond will be the tomb,",35.0,7,0.0,0.706,0.294,0.5777,will,tomb,so,fond tomb 
35,Sonnets,3.0,"Of his self-love, to stop posterity?",36.0,8,0.306,0.694,0.0,-0.296,stop,self love posterity,,self love stop posterity 
36,Sonnets,3.0,"Thou art thy mother's glass, and she in thee",37.0,9,0.0,1.0,0.0,0.0,,mother glass,,Thou art thy mother glass thee
37,Sonnets,3.0,"Calls back the lovely April of her prime,",38.0,10,0.0,0.648,0.352,0.5859,back,call prime,,call lovely April prime 
38,Sonnets,3.0,"So thou through windows of thine age shalt see,",39.0,11,0.0,1.0,0.0,0.0,see,window thine age shalt,so,thou window thine age shalt 
39,Sonnets,3.0,"Despite of wrinkles, this thy golden time.",40.0,12,0.0,1.0,0.0,0.0,,wrinkle time,,despite wrinkle thy golden time 
40,Sonnets,3.0,"But if thou live rememb'red not to be,",41.0,13,0.0,1.0,0.0,0.0,live rememb're,,,thou live rememb re 
41,Sonnets,3.0,"Die single, and thine image dies with thee.",42.0,14,0.358,0.642,0.0,-0.5994,die die,image,,die single thine image die thee 
42,Sonnets,4.0,"Unthrifty loveliness, why dost thou spend",43.0,1,0.0,1.0,0.0,0.0,dost spend,loveliness,why,unthrifty loveliness dost thou spend
43,Sonnets,4.0,Upon thyself thy beauty's legacy?,44.0,2,0.0,1.0,0.0,0.0,,beauty legacy,,thyself thy beauty legacy 
44,Sonnets,4.0,"Nature's bequest gives nothing, but doth lend,",45.0,3,0.0,1.0,0.0,0.0,give lend,bequest doth,,Nature bequest give doth lend 
45,Sonnets,4.0,And being frank she lends to those are free:,46.0,4,0.0,0.708,0.292,0.5106,lend,,,frank lend free 
46,Sonnets,4.0,"Then, beauteous niggard, why dost thou abuse",47.0,5,0.331,0.394,0.276,-0.1779,dost,niggard abuse,then why, beauteous niggard dost thou abuse
47,Sonnets,4.0,The bounteous largess given thee to give?,48.0,6,0.0,1.0,0.0,0.0,give give,largess,,bounteous largess give thee 
48,Sonnets,4.0,"Profitless usurer, why dost thou use",49.0,7,0.333,0.667,0.0,-0.3612,dost,,why,profitless usurer dost thou use
49,Sonnets,4.0,"So great a sum of sums, yet canst not live?",50.0,8,0.0,0.646,0.354,0.659,,sum sum canst,so,great sum sum canst live 
50,Sonnets,4.0,"For having traffic with thyself alone,",51.0,9,0.286,0.714,0.0,-0.25,have,traffic,alone,have traffic thyself 
